"","location","date","co_8hr","no2_one_hour_max","o3_eight_hour_max","pm10_24","pm25_24","psi_24","psi_three_hourly","so2_24"
"1","central","2017-01-01",0.747272727272727,17.3181818181818,17.9545454545455,15.1818181818182,7.81818181818182,32.8636363636364,31.0454545454545,3
"2","central","2017-01-02",0.860476190476191,28.7619047619048,13.4285714285714,17.7619047619048,8.47619047619048,35.4285714285714,34.5238095238095,4
"3","central","2017-01-03",0.71,25.2272727272727,12.5909090909091,15.4090909090909,8.22727272727273,34.0454545454545,31.0909090909091,4.09090909090909
"4","central","2017-01-04",0.55,25.2105263157895,18.3157894736842,14.8947368421053,6.84210526315789,28.1578947368421,32.5789473684211,5.26315789473684
"5","central","2017-01-05",0.623157894736842,25.2631578947368,19.7368421052632,14.5263157894737,7.42105263157895,31,33.5789473684211,4.73684210526316
"6","central","2017-01-06",0.708095238095238,44.6190476190476,23.1428571428571,19.9047619047619,11.2857142857143,46.0952380952381,45.5238095238095,13.6666666666667
"7","central","2017-01-07",0.71952380952381,38.3333333333333,28.4285714285714,19.4761904761905,11.4761904761905,48.1904761904762,43.9523809523809,19.6666666666667
"8","central","2017-01-08",0.720909090909091,19.4545454545455,39.6818181818182,20.9090909090909,12.3181818181818,50.3181818181818,41.6363636363636,15.4090909090909
"9","central","2017-01-09",0.7335,27.7,39,21,11.5,47.6,49.35,9.4
"10","central","2017-01-10",0.765789473684211,33.3157894736842,24.8421052631579,26.2631578947368,13.9473684210526,53.1052631578947,53.2105263157895,7.47368421052632
"11","central","2017-01-11",0.791666666666667,35.4444444444444,19.4444444444444,25.1666666666667,15,54.1666666666667,55.3333333333333,7.61111111111111
"12","central","2017-01-12",0.576666666666667,30.3888888888889,32.2222222222222,24.4444444444444,15.2222222222222,54.6111111111111,54.8333333333333,8.38888888888889
"13","central","2017-01-13",0.620434782608696,43.2608695652174,30.0869565217391,29.2608695652174,18.8695652173913,58.6521739130435,57.1304347826087,10.2173913043478
"14","central","2017-01-14",0.587391304347826,42.4782608695652,34.4347826086956,26.0869565217391,17.1304347826087,56.7391304347826,53.5652173913044,13.0869565217391
"15","central","2017-01-15",0.594782608695652,20.8260869565217,38.695652173913,27.5217391304348,17.1304347826087,56.6086956521739,46.9130434782609,10.4782608695652
"16","central","2017-01-16",0.76304347826087,34.1739130434783,41.304347826087,20.3913043478261,11.6521739130435,47.8260869565217,44,6.39130434782609
"17","central","2017-01-17",0.806521739130435,37.9130434782609,41.7826086956522,27.2173913043478,14,53.304347826087,44.695652173913,9.82608695652174
"18","central","2017-01-18",0.781739130434783,39.9130434782609,23.1304347826087,19.5652173913043,11.2173913043478,46.695652173913,42.4782608695652,7.04347826086957
"19","central","2017-01-19",0.889565217391304,36.3913043478261,21.8260869565217,17.1739130434783,10.0434782608696,42.1304347826087,42.7826086956522,4.52173913043478
"20","central","2017-01-20",0.801739130434783,42.695652173913,13.6086956521739,17.9565217391304,10.6521739130435,44.2173913043478,42.5652173913044,10.1304347826087
"21","central","2017-01-21",0.720952380952381,28.8571428571429,13.7142857142857,17.3333333333333,9.38095238095238,39.2857142857143,21.7619047619048,12.0952380952381
"22","central","2017-01-22",0.694347826086957,18.7826086956522,21.1304347826087,13.1739130434783,6,25.0434782608696,27.8260869565217,4.65217391304348
"23","central","2017-01-23",0.82695652173913,29.7826086956522,8.1304347826087,14.6086956521739,5.65217391304348,23.304347826087,20.7391304347826,4.60869565217391
"24","central","2017-01-24",0.865217391304348,21.6521739130435,10.5217391304348,12.9130434782609,5.26086956521739,22.3478260869565,21.6521739130435,4
"25","central","2017-01-25",0.695652173913043,24.5652173913043,15.0434782608696,11.3913043478261,5.69565217391304,23.2173913043478,31.695652173913,4
"26","central","2017-01-26",0.624782608695652,21,17.7826086956522,18.6086956521739,8.82608695652174,36.5652173913044,38.3913043478261,4.21739130434783
"27","central","2017-01-27",0.694782608695652,19.0434782608696,27.1304347826087,21.0869565217391,10.2608695652174,43,44.9130434782609,5
"28","central","2017-01-28",0.659130434782609,16.1739130434783,32.0869565217391,21.2608695652174,9.8695652173913,40.6521739130435,32.304347826087,4.60869565217391
"29","central","2017-01-29",0.636521739130435,16.7826086956522,28.6086956521739,16,7.34782608695652,30.7826086956522,30.7391304347826,4
"30","central","2017-01-30",0.679130434782609,20.8695652173913,19.6521739130435,14.1304347826087,6.95652173913043,28.9565217391304,31,4
"31","central","2017-01-31",0.65695652173913,23.8695652173913,17.1304347826087,17.5652173913043,8.69565217391304,36.7826086956522,40.3913043478261,4.91304347826087
"32","central","2017-02-01",0.581739130434783,23,27.7826086956522,21.5652173913043,11.6086956521739,46.695652173913,50.6521739130435,5
"33","central","2017-02-02",0.70304347826087,38,34.9130434782609,29,17.9565217391304,57.7826086956522,58.7391304347826,7.17391304347826
"34","central","2017-02-03",0.534782608695652,23.4347826086957,28.1739130434783,20.6086956521739,12.8695652173913,47.6086956521739,30.695652173913,7.8695652173913
"35","central","2017-02-04",0.550909090909091,25.2727272727273,22.3181818181818,15,8.59090909090909,35.4545454545455,36.5,5.5
"36","central","2017-02-05",0.547826086956522,23.1304347826087,29.2608695652174,15.1739130434783,8.73913043478261,35.9130434782609,27,6.21739130434783
"37","central","2017-02-06",0.598695652173913,23.304347826087,27.2608695652174,14.5652173913043,7.21739130434783,30.5217391304348,31.304347826087,5.82608695652174
"38","central","2017-02-07",0.780434782608696,35.6521739130435,25.4347826086957,16.1739130434783,9.26086956521739,38.0869565217391,40.3913043478261,4.95652173913043
